index,Municipio,IDHM_2010,IDHM_Renda_2010,IDHM_Longevidade_2010,IDHM_Educação_2010,nome_municipio,UF,Municipio_mapa,nome_unico,Pop_2018,Area,pop_por_area
2206,Abadia dos Dourados (MG),689,693,839,563,Abadia dos Dourados,MG,ABADIA DOS DOURADOS MG,Abadia dos Dourados MG,6972,881.064,7.913159543461088
2201,Abadiânia (GO),689,671,841,579,Abadiânia,GO,ABADIANIA GO,Abadiânia GO,19614,1045.127,18.76709720445458
3529,Abaetetuba (PA),628,579,798,537,Abaetetuba,PA,ABAETETUBA PA,Abaetetuba PA,156292,1610.651,97.0365398835626
1993,Abaeté (MG),698,720,848,556,Abaeté,MG,ABAETE MG,Abaeté MG,23223,1817.067,12.780486355208696
3521,Abaiara (CE),628,540,748,612,Abaiara,CE,ABAIARA CE,Abaiara CE,11663,180.08,64.76565970679698
4755,Abaré (BA),575,533,776,460,Abaré,BA,ABARE BA,Abaré BA,19814,1604.923,12.34576362853545
2257,Abatiá (PR),687,676,804,596,Abatiá,PR,ABATIA PR,Abatiá PR,7507,228.717,32.822221347779134
4085,Abaíra (BA),603,577,746,510,Abaíra,BA,ABAIRA BA,Abaíra BA,8767,538.677,16.275059079931015
2091,Abdon Batista (SC),694,660,812,625,Abdon Batista,SC,ABDON BATISTA SC,Abdon Batista SC,2577,237.164,10.865898703007202
3656,Abel Figueiredo (PA),622,625,800,481,Abel Figueiredo,PA,ABEL FIGUEIREDO PA,Abel Figueiredo PA,7382,614.131,12.020236724737885
2031,Abelardo Luz (SC),696,684,852,578,Abelardo Luz,SC,ABELARDO LUZ SC,Abelardo Luz SC,17847,953.992,18.70770404783269
3045,Abre Campo (MG),654,646,823,525,Abre Campo,MG,ABRE CAMPO MG,Abre Campo MG,13465,470.551,28.61538919266987
2785,Abreulândia (TO),665,700,835,502,Abreulândia,TO,ABREULANDIA TO,Abreulândia TO,2564,1895.212,1.3528829492426178
3492,Acaiaca (MG),630,610,823,499,Acaiaca,MG,ACAIACA MG,Acaiaca MG,3994,101.886,39.20067526451132
4612,Acajutiba (BA),582,560,723,487,Acajutiba,BA,ACAJUTIBA BA,Acajutiba BA,15129,181.475,83.36685493869679
4124,Acaraú (CE),601,554,758,517,Acaraú,CE,ACARAU CE,Acaraú CE,62557,845.468,73.99097304688054
2461,Acari (RN),679,633,779,634,Acari,RN,ACARI RN,Acari RN,11152,608.466,18.32805777151065
5512,Acará (PA),506,517,757,332,Acará,PA,ACARA PA,Acará PA,55513,4343.55,12.780559680445718
5407,Acauã (PI),528,517,692,411,Acauã,PI,ACAUA PI,Acaua PI,7065,1279.586,5.5213170509836775
4278,Acopiara (CE),595,563,724,517,Acopiara,CE,ACOPIARA CE,Acopiara CE,53931,2265.349,23.8069277625655
3522,Acorizal (MT),628,594,816,510,Acorizal,MT,ACORIZAL MT,Acorizal MT,5424,1014.029,5.348959447905336
4078,Acrelândia (AC),604,584,808,466,Acrelândia,AC,ACRELANDIA AC,Acrelândia AC,15020,1807.948,8.307761063924405
2281,Acreúna (GO),686,710,822,553,Acreúna,GO,ACREUNA GO,Acreúna GO,22182,1565.997,14.164778093444625
1857,Adelândia (GO),702,664,836,622,Adelândia,GO,ADELANDIA GO,Adelândia GO,2517,115.353,21.81997867415672
1043,Adolfo (SP),730,710,844,648,Adolfo,SP,ADOLFO SP,Adolfo SP,3571,211.055,16.919760252066997
5260,Adustina (BA),546,526,718,432,Adustina,BA,ADUSTINA BA,Adustina BA,16784,632.139,26.551122458826303
2973,Afogados da Ingazeira (PE),657,623,807,565,Afogados da Ingazeira,PE,AFOGADOS DA INGAZEIRA PE,Afogados da Ingazeira PE,37111,377.696,98.25626959247649
4538,Afonso Bezerra (RN),585,560,713,502,Afonso Bezerra,RN,AFONSO BEZERRA RN,Afonso Bezerra RN,11041,576.18,19.162414523239267
2743,Afonso Cláudio (ES),667,661,825,544,Afonso Cláudio,ES,AFONSO CLAUDIO ES,Afonso Cláudio ES,30720,941.188,32.63960016489798
5405,Afonso Cunha (MA),529,471,725,434,Afonso Cunha,MA,AFONSO CUNHA MA,Afonso Cunha MA,6469,371.338,17.420786453312076
4444,Afrânio (PE),588,542,761,493,Afrânio,PE,AFRANIO PE,Afrânio PE,19456,1490.594,13.0525146351052
5543,Afuá (PA),489,485,774,311,Afuá,PA,AFUA PA,Afuá PA,38863,8338.438,4.660705038521603
4349,Agrestina (PE),592,581,760,470,Agrestina,PE,AGRESTINA PE,Agrestina PE,24702,200.581,123.15224273485524
4184,Agricolândia (PI),599,550,742,526,Agricolândia,PI,AGRICOLANDIA PI,Agricolândia PI,5148,112.392,45.803971812940425
1166,Agrolândia (SC),725,727,827,633,Agrolândia,SC,AGROLANDIA SC,Agrolândia SC,10711,206.914,51.76546777888398
2844,Aguanil (MG),663,672,845,513,Aguanil,MG,AGUANIL MG,Aguanil MG,4448,232.091,19.1648965276551
1459,Aguaí (SP),715,703,858,606,Aguaí,SP,AGUAI SP,Aguaí SP,35954,474.554,75.7637697711957
2102,Agudo (RS),694,752,847,524,Agudo,RS,AGUDO RS,Agudo RS,16524,534.624,30.907703357873945
661,Agudos (SP),745,705,845,694,Agudos,SP,AGUDOS SP,Agudos SP,37023,966.708,38.298017602005984
2899,Agudos do Sul (PR),660,671,790,543,Agudos do Sul,PR,AGUDOS DO SUL PR,Agudos do Sul PR,9269,192.261,48.21050551073801
4228,Aguiar (PB),597,632,753,447,Aguiar,PB,AGUIAR PB,Aguiar PB,5571,344.708,16.16150480986806
2339,Aimorés (MG),684,685,810,576,Aimorés,MG,AIMORES MG,Aimorés MG,25193,1348.913,18.676519538324563
4572,Aiquara (BA),583,573,733,471,Aiquara,BA,AIQUARA BA,Aiquara BA,4478,167.877,26.67429129660406
4870,Aiuaba (CE),569,518,749,474,Aiuaba,CE,AIUABA CE,Aiuaba CE,17303,2434.423,7.107639058618819
2734,Aiuruoca (MG),668,677,871,505,Aiuruoca,MG,AIURUOCA MG,Aiuruoca MG,6032,649.68,9.28457086565694
502,Ajuricaba (RS),753,763,850,658,Ajuricaba,RS,AJURICABA RS,Ajuricaba RS,7063,322.671,21.88916884380685
4598,Alagoa Grande (PB),582,576,797,430,Alagoa Grande,PB,ALAGOA GRANDE PB,Alagoa Grande PB,28623,320.563,89.28978079191923
3144,Alagoa (MG),649,634,832,518,Alagoa,MG,ALAGOA MG,Alagoa MG,2683,161.356,16.627829147970946
4733,Alagoa Nova (PB),576,567,749,451,Alagoa Nova,PB,ALAGOA NOVA PB,Alagoa Nova PB,20589,123.731,166.4013060591121
4267,Alagoinha (PB),595,574,795,462,Alagoinha,PB,ALAGOINHA PB,Alagoinha PB,14367,96.98,148.1439472056094
4183,Alagoinha (PE),599,569,801,472,Alagoinha,PE,ALAGOINHA PE,Alagoinha PE,14554,216.452,67.23892595125017
5393,Alagoinha do Piauí (PI),531,535,716,391,Alagoinha do Piauí,PI,ALAGOINHA DO PIAUI PI,Alagoinha do Piauí PI,7636,535.807,14.251400224334509
2384,Alagoinhas (BA),683,681,790,592,Alagoinhas,BA,ALAGOINHAS BA,Alagoinhas BA,150832,707.558,213.17263037093775
2616,Albertina (MG),673,684,813,549,Albertina,MG,ALBERTINA MG,Albertina MG,3003,58.01,51.76693673504568
4672,Alcantil (PB),578,550,765,458,Alcantil,PB,ALCANTIL PB,Alcantil PB,5473,305.988,17.88632233943815
1577,Alcinópolis (MS),711,733,858,572,Alcinópolis,MS,ALCINOPOLIS MS,Alcinópolis MS,5268,4399.681,1.1973595358390756
3981,Alcobaça (BA),608,611,771,476,Alcobaça,BA,ALCOBACA BA,Alcobaça BA,22449,1482.285,15.14486080612028
4797,Alcântara (MA),573,525,753,475,Alcântara,MA,ALCANTARA MA,Alcântara MA,22083,1168.246,18.902696863503063
4143,Alcântaras (CE),600,549,751,524,Alcântaras,CE,ALCANTARAS CE,Alcântaras CE,11529,138.605,83.17881750297609
5491,Aldeias Altas (MA),513,500,720,374,Aldeias Altas,MA,ALDEIAS ALTAS MA,Aldeias Altas MA,26302,1942.121,13.54292549228395
2627,Alecrim (RS),672,683,852,522,Alecrim,RS,ALECRIM RS,Alecrim RS,6077,316.51,19.200025275662696
1276,Alegre (ES),721,708,839,630,Alegre,ES,ALEGRE ES,Alegre ES,30568,772.0,39.59585492227979
790,Alegrete (RS),740,720,849,664,Alegrete,RS,ALEGRETE RS,Alegrete RS,74173,7800.163,9.50916025729206
4537,Alegrete do Piauí (PI),585,564,749,475,Alegrete do Piauí,PI,ALEGRETE DO PIAUI PI,Alegrete do Piauí PI,4912,243.732,20.15328311424023
2073,Alegria (RS),695,717,818,572,Alegria,RS,ALEGRIA RS,Alegria RS,3559,172.396,20.64433049490708
4970,Alenquer (PA),564,529,779,436,Alenquer,PA,ALENQUER PA,Alenquer PA,56480,23645.452,2.388620018767245
4019,Alexandria (RN),606,581,779,491,Alexandria,RN,ALEXANDRIA RN,Alexandria RN,13602,381.205,35.68158864652877
2388,Alexânia (GO),682,664,841,568,Alexânia,GO,ALEXANIA GO,Alexânia GO,27288,847.893,32.18330614829937
351,Alfenas (MG),761,737,841,712,Alfenas,MG,ALFENAS MG,Alfenas MG,79481,850.446,93.45802085023622
1607,Alfredo Chaves (ES),710,703,832,611,Alfredo Chaves,ES,ALFREDO CHAVES ES,Alfredo Chaves ES,14566,615.677,23.658509250792218
2722,Alfredo Wagner (SC),668,702,882,481,Alfredo Wagner,SC,ALFREDO WAGNER SC,Alfredo Wagner SC,9984,735.371,13.576820407658175
5240,Algodão de Jandaíra (PB),548,532,749,413,Algodão de Jandaíra,PB,ALGODAO DE JANDAIRA PB,Algodao de Jandaíra PB,2488,220.248,11.296356834114272
4597,Alhandra (PB),582,544,778,465,Alhandra,PB,ALHANDRA PB,Alhandra PB,19391,182.663,106.15724038256242
4076,Aliança (PE),604,565,799,488,Aliança,PE,ALIANCA PE,Aliança PE,38375,272.773,140.6847451910563
2834,Aliança do Tocantins (TO),663,610,801,596,Aliança do Tocantins,TO,ALIANCA DO TOCANTINS TO,Aliança do Tocantins TO,5434,1579.751,3.4397825986500403
4994,Almadina (BA),563,563,751,421,Almadina,BA,ALMADINA BA,Almadina BA,5566,245.236,22.69650459149554
3383,Almas (TO),636,616,796,524,Almas,TO,ALMAS TO,Almas TO,7131,4013.243,1.7768672367957783
3261,Almenara (MG),642,636,803,518,Almenara,MG,ALMENARA MG,Almenara MG,41642,2294.426,18.149201586802103
3610,Almino Afonso (RN),624,578,739,568,Almino Afonso,RN,ALMINO AFONSO RN,Almino Afonso RN,4761,128.038,37.18427341882878
789,Almirante Tamandaré do Sul (RS),740,732,828,669,Almirante Tamandaré do Sul,RS,ALMIRANTE TAMANDARE DO SUL RS,Almirante Tamandaré do Sul RS,1979,265.327,7.458720748359571
2003,Aloândia (GO),697,694,834,585,Aloândia,GO,ALOANDIA GO,Aloândia GO,2005,102.16,19.62607674236492
3186,Alpercata (MG),646,629,824,521,Alpercata,MG,ALPERCATA MG,Alpercata MG,7411,166.972,44.38468725295259
2648,Alpestre (RS),671,700,795,543,Alpestre,RS,ALPESTRE RS,Alpestre RS,6458,325.979,19.81109212556637
1181,Alpinópolis (MG),725,703,862,629,Alpinópolis,MG,ALPINOPOLIS MG,Alpinópolis MG,19745,454.751,43.41936576280207
3282,Alta Floresta D'Oeste (RO),641,657,763,526,Alta Floresta D'Oeste,RO,ALTA FLORESTA D'OESTE RO,Alta Floresta D'Oeste RO,23167,7067.025,3.278182827993392
1497,Alta Floresta (MT),714,709,817,629,Alta Floresta,MT,ALTA FLORESTA MT,Alta Floresta MT,51615,8953.191,5.764983680120305
2260,Altair (SP),687,698,800,581,Altair,SP,ALTAIR SP,Altair SP,4134,313.007,13.20737235908462
2791,Altamira (PA),665,662,811,548,Altamira,PA,ALTAMIRA PA,Altamira PA,113195,159533.328,0.7095382602436526
5214,Altamira do Maranhão (MA),549,486,719,473,Altamira do Maranhão,MA,ALTAMIRA DO MARANHAO MA,Altamira do Maranhao MA,8066,524.373,15.382180241927024
2737,Altamira do Paraná (PR),667,667,780,571,Altamira do Paraná,PR,ALTAMIRA DO PARANA PR,Altamira do Paraná PR,2209,386.945,5.708821667162
4102,Altaneira (CE),602,547,774,515,Altaneira,CE,ALTANEIRA CE,Altaneira CE,7521,73.295,102.61272938126748
2731,Alterosa (MG),668,657,847,536,Alterosa,MG,ALTEROSA MG,Alterosa MG,14414,362.01,39.81657965249579
4199,Altinho (PE),598,559,792,482,Altinho,PE,ALTINHO PE,Altinho PE,22959,452.523,50.73554272379525
1045,Altinópolis (SP),730,726,843,635,Altinópolis,SP,ALTINOPOLIS SP,Altinópolis SP,16164,928.956,17.400178264632554
5301,Alto Alegre (RR),542,518,813,379,Alto Alegre,RR,ALTO ALEGRE RR,Alto Alegre RR,15638,25753.487,0.6072187428444156
624,Alto Alegre (RS),747,756,859,642,Alto Alegre,RS,ALTO ALEGRE RS,Alto Alegre RS,1663,115.335,14.4188667793818
1912,Alto Alegre (SP),700,683,817,616,Alto Alegre,SP,ALTO ALEGRE SP,Alto Alegre SP,4110,318.574,12.901241155900983
5147,Alto Alegre do Maranhão (MA),554,516,744,444,Alto Alegre do Maranhão,MA,ALTO ALEGRE DO MARANHAO MA,Alto Alegre do Maranhao MA,26839,383.308,70.01940997839857
