Municipio_mapa,UF,Município,Latitude,Longitude,IDHM_2010,IDHM_Renda_2010,IDHM_Longevidade_2010,IDHM_Educação_2010,Pop_2018,Area,pop_por_area,VAR01,VAR02,VAR03,VAR04,VAR05,VAR06,VAR07,VAR08,VAR09,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20,VAR21,VAR22,VAR23,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35,VAR36,VAR37,VAR38,VAR39,VAR40,VAR41,VAR42,VAR43,VAR44,VAR45,VAR46,VAR47,VAR48,VAR49,VAR50,VAR51,VAR52,VAR53,VAR54,VAR55,VAR56,VAR57,VAR58,VAR59,VAR60,VAR61,VAR62,VAR63,VAR64,VAR65,VAR66,VAR67,VAR68,VAR69,VAR70,VAR71,VAR72,VAR73,VAR74,VAR75,VAR76,VAR77,VAR78,VAR79,VAR80,VAR81,VAR82,VAR83,VAR84,VAR85,VAR86,VAR87,VAR88,VAR89,VAR90,VAR91,VAR92,VAR93,VAR94,VAR95,VAR96,VAR97,VAR98,VAR99,VAR100,VAR101,VAR102,coef_microregioes,PIB_PerCapita
ABADIA DOS DOURADOS MG,MG,ABADIA DOS DOURADOS,-18.4911191,-47.4063589,689,693,839,563,6972,881.064,7.913159543461088,6972,881.064,180089,50525,25918,62689,28084,12873,5,Centro Local,5,Centro Local,,,,,,5,,1.8750612633917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NÃO,1085.66497301129,0.0,209.55,0.0,0.0,0.0,158.75,3305.8,0.0,0.0,6950.46824863141,-1085.66497301129,-876.11497301129,-1085.66497301129,-1085.66497301129,-1085.66497301129,-926.91497301129,2220.1350269887103,-1085.66497301129,-1085.66497301129,5864.803275620119,0,NÃO,52,54.74,58,25.0,39.87,,,,,,,,,,6,5,2.43832472748135,9,1.28773787380169,7,0.0,0.0,0.0,0.0,0.5,25.830321285140563
ABADIANIA GO,GO,ABADIANIA,-16.1940946,-48.7067767,689,671,841,579,19614,1045.127,18.76709720445458,19614,1045.127,287984,42839,16728,138199,63396,26823,5,Centro Local,5,Centro Local,,,,,,5,,1.50514997831991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,NÃO,29,30.53,33,14.22,22.375,8.0,0.0,0.0,1.0,0.0,1.0,,,,6,3,0.458855919241358,53,2.64444666200978,7,0.0,0.0,0.0,0.0,0.5,14.682573671867035
ABAETE MG,MG,ABAETE,-19.1566833,-45.4481213,698,720,848,556,23223,1817.067,12.780486355208696,23223,1817.067,430235,113825,31003,172333,86081,26994,4A,Centro de Zona A,4B,Centro de Zona B,,,Centro de Zona,4b,Centro local B,4,2.63848925695463,2.16136800223497,0.477121254719662,8,145.0,13.0,47.0,44.0,41.0,7,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SIM,9603.00473504788,11784.3866666667,18851.7,6000.16666666667,334.186666666666,8828.09,18006.4,11951.3771550361,0.0,78.0666666666667,17584.752795663,2181.38193161882,9248.69526495212,-3602.83806838121,-9268.818068381212,-774.9147350478797,8403.395264952122,2348.37241998822,-9603.00473504788,-9524.938068381212,7981.74806061512,0,NÃO,55,57.89,64,27.59,42.74,7.0,1.0,1.0,1.0,0.0,1.0,7.0,,,6,3,1.98079490160617,141,6.06790893833111,7,162003.9603573,125785.685036167,270757.7180747,224085.789704675,1.0,18.526245532446282
ABAETETUBA PA,PA,ABAETETUBA,-1.721828,-48.878843,628,579,798,537,156292,1610.651,97.0365398835626,156292,1610.651,1249255,140464,58610,468129,486872,95180,3B,Centro Sub-Regional B,3B,Centro Sub-Regional B,3.0,Médio para fraco,Centro de Zona,4b,Centro local B,3,3.0,2.30102999566398,0.698970004336019,7,200.0,23.0,77.0,52.0,48.0,6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,SIM,63939.2728302815,110518.216666667,76678.9333333334,66948.1333333334,0.0,133902.266666667,27809.2666666666,78827.2666666667,0.0,0.0,138016.957372162,46578.94383638549,12739.660503051906,3008.860503051903,-63939.2728302815,69962.99383638552,-36130.0061636149,14887.993836385203,-63939.2728302815,-63939.2728302815,74077.6845418805,0,NÃO,48,50.53,58,25.0,37.765,6.0,1.0,1.0,1.0,1.0,1.0,6.0,,7.0,6,3,1.68274767742431,104,0.659488389199609,5,166516.3706935,59236.9844265,216459.215824333,120259.8492583,1.5,7.993083459166177
ABAIARA CE,CE,ABAIARA,-7.3607808,-39.0487878,628,540,748,612,11663,180.08,64.76565970679698,11663,180.08,73151,4435,5876,22808,35990,4043,5,Centro Local,5,Centro Local,,,,,,5,,1.23044892137827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NÃO,1006.47225407532,0.0,0.0,0.0,0.0,0.0,0.0,3273.93333333333,0.0,0.0,6790.78920741988,-1006.47225407532,-1006.47225407532,-1006.47225407532,-1006.47225407532,-1006.47225407532,-1006.47225407532,2267.46107925801,-1006.47225407532,-1006.47225407532,5784.31695334456,1,NÃO,19,20.0,12,5.17,12.585,,,,,,,,,,6,3,0.0857412329589299,2,0.170401295049842,7,5191.7651565,5391.44843175,5790.81498225,9210.66512174,0.5,6.2720569321786845
ABAIRA BA,BA,ABAIRA,-13.2503296,-41.6640342,603,577,746,510,8767,538.677,16.275059079931015,8767,538.677,64325,12413,3437,17991,28464,2020,5,Centro Local,5,Centro Local,,,,,,5,,1.36172783601759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NÃO,3392.50241080384,0.0,0.0,863.45,0.0,0.0,9514.36666666666,14396.7333333333,0.0,0.0,9082.00003396436,-3392.50241080384,-3392.50241080384,-2529.05241080384,-3392.50241080384,-3392.50241080384,6121.86425586282,11004.23092252946,-3392.50241080384,-3392.50241080384,5689.49762316052,0,NÃO,27,28.42,21,9.05,18.735,,,,,,,,,,6,3,1.02657693623817,22,2.51745050921158,7,0.0,0.0,0.0,0.0,0.5,7.337173491502225
ABARE BA,BA,ABARE,-8.7239913,-39.1139689,575,533,776,460,19814,1604.923,12.34576362853545,19814,1604.923,124754,9176,6703,36922,65748,6205,5,Centro Local,5,Centro Local,,,,,,5,,1.44715803134222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NÃO,1301.58890196078,0.0,0.0,0.0,0.0,0.0,3346.2,7470.40666666667,0.0,0.0,1083.88235294117,-1301.58890196078,-1301.58890196078,-1301.58890196078,-1301.58890196078,-1301.58890196078,2044.61109803922,6168.81776470589,-1301.58890196078,-1301.58890196078,-217.7065490196101,1,NÃO,18,18.95,8,3.45,11.2,8.0,0.0,1.0,0.0,0.0,0.0,,,,6,5,1.21126476228929,14,0.697002887583391,7,0.0,0.0,0.0,0.0,0.5,6.296255173109922
ABATIA PR,PR,ABATIA,-23.3052967,-50.3102532,687,676,804,596,7507,228.717,32.822221347779134,7507,228.717,165048,73341,8840,42999,34103,5765,5,Centro Local,5,Centro Local,,,,,,5,,1.61278385671974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NÃO,351.950952380952,451.333333333332,451.333333333332,0.0,0.0,0.0,1311.2,338.5,0.0,0.0,967.142857142858,99.38238095238,99.38238095238,-351.950952380952,-351.950952380952,-351.950952380952,959.249047619048,-13.450952380952003,-351.950952380952,-351.950952380952,615.191904761906,0,NÃO,42,44.21,43,18.53,31.37,8.0,1.0,0.0,0.0,0.0,0.0,,,,6,5,2.93059810843213,18,2.41383934558133,7,0.0,0.0,0.0,0.0,0.5,21.985879845477555
ABDON BATISTA SC,SC,ABDON BATISTA,-27.612419,-51.022992,694,660,812,625,2577,237.164,10.865898703007202,2577,237.164,64742,24997,3579,16011,17843,2313,5,Centro Local,5,Centro Local,,,,,,5,,1.36172783601759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NÃO,121.496666666667,0.0,0.0,0.0,0.0,0.0,487.533333333334,727.433333333333,0.0,0.0,0.0,-121.496666666667,-121.496666666667,-121.496666666667,-121.496666666667,-121.496666666667,366.036666666667,605.936666666666,-121.496666666667,-121.496666666667,-121.496666666667,0,NÃO,18,18.95,15,6.47,12.71,8.0,0.0,0.0,0.0,0.0,0.0,,,,6,5,0.0,6,2.34100663285213,7,17613.903232175,7818.706775875,28289.16393668,6653.3442045,0.5,25.123011253395422
ABEL FIGUEIREDO PA,PA,ABEL FIGUEIREDO,-4.953001,-48.3958485,622,625,800,481,7382,614.131,12.020236724737885,7382,614.131,79658,21382,5314,20515,27736,4710,5,Centro Local,5,Centro Local,,,,,,5,,1.32221929473392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NÃO,1505.71997929606,0.0,0.0,0.0,0.0,0.0,1686.0,3161.25,0.0,0.0,9671.36645962733,-1505.71997929606,-1505.71997929606,-1505.71997929606,-1505.71997929606,-1505.71997929606,180.28002070393995,1655.53002070394,-1505.71997929606,-1505.71997929606,8165.64648033127,1,NÃO,24,25.26,6,2.59,13.925,8.0,0.0,0.0,0.0,0.0,0.0,,,,6,5,2.30289894337578,4,0.538068334678504,7,0.0,0.0,0.0,0.0,0.5,10.790842590083988
