Municipio_mapa,UF,Latitude,Longitude,Pop_2018,Area,Pop_por_Area,Leitos_por_Mil_Hab,Dominios_Internet_por_Mil_Hab,Atração_Geral,Coef_Gestao_Empresarial,PIB,media_KMG2
ABADIA DOS DOURADOS MG,MG,-18.4911191,-47.4063589,6972,881.064,7.913159543461088,2.43832472748135,1.28773787380169,1085.66497301129,,180089,0.025489519656748037
ABADIANIA GO,GO,-16.1940946,-48.7067767,19614,1045.127,18.76709720445458,0.458855919241358,2.64444666200978,0.0,,287984,0.0055952923973325
ABAETE MG,MG,-19.1566833,-45.4481213,23223,1817.067,12.780486355208696,1.98079490160617,6.06790893833111,9603.00473504788,145.0,430235,0.0222642846583095
ABAETETUBA PA,PA,-1.721828,-48.878843,156292,1610.651,97.0365398835626,1.68274767742431,0.659488389199609,63939.2728302815,200.0,1249255,0.018034282806402353
ABAIARA CE,CE,-7.3607808,-39.0487878,11663,180.08,64.76565970679698,0.0857412329589299,0.170401295049842,1006.47225407532,,73151,0.00096213142113385
ABAIRA BA,BA,-13.2503296,-41.6640342,8767,538.677,16.275059079931015,1.02657693623817,2.51745050921158,3392.50241080384,,64325,0.011288530347583215
ABARE BA,BA,-8.7239913,-39.1139689,19814,1604.923,12.34576362853545,1.21126476228929,0.697002887583391,1301.58890196078,,124754,0.012694465683632642
ABATIA PR,PR,-23.3052967,-50.3102532,7507,228.717,32.822221347779134,2.93059810843213,2.41383934558133,351.950952380952,,165048,0.03085887334231463
ABDON BATISTA SC,SC,-27.612419,-51.022992,2577,237.164,10.865898703007202,0.0,2.34100663285213,121.496666666667,,64742,0.0006955550881834197
ABEL FIGUEIREDO PA,PA,-4.953001,-48.3958485,7382,614.131,12.020236724737885,2.30289894337578,0.538068334678504,1505.71997929606,,79658,0.023839926489742907
ABELARDO LUZ SC,SC,-26.5705893,-52.3280339,17847,953.992,18.70770404783269,2.3533366952429,5.08266309204647,3248.58339701967,119.0,604280,0.02588855507521738
ABRE CAMPO MG,MG,-20.295421,-42.480131,13465,470.551,28.61538919266987,4.90159673226885,2.45280214062732,3509.26226051164,,187904,0.05112245136813051
ABREULANDIA TO,TO,-9.6221526,-49.1558343,2564,1895.212,1.3528829492426178,0.0,2.32648313299729,358.272792022792,,47378,0.0006835715537658342
ACAIACA MG,MG,-20.3621646,-43.1444162,3994,101.886,39.20067526451132,0.0,2.25338007010516,439.074074074074,,36424,0.0006578132094250478
