UF,Município,Agropecuária_2019,Agropecuária_2020,Agropecuária_VrAbs,Agropecuária_Vr,Indústria_2019,Indústria_2020,Indústria_VrAbs,Indústria_Vr,Construção_2019,Construção_2020,Construção_VrAbs,Construção_Vr,Comércio_2019,Comércio_2020,Comércio_VrAbs,Comércio_Vr,Serviços_2019,Serviços_2020,Serviços_VrAbs,Serviços_Vr,Total_2019,Total_2020,Total_VrAbs,Total_Vr,Municipio_mapa,Latitude,Longitude,Ufs_indice,index_original
RO,ARIQUEMES,993,1066,73,7.35,2734,2477,-257,-9.4,378,393,15,3.97,6368,6499,131,2.06,7459,7099,-360,-4.83,17932,17534,-398,-2.22,ARIQUEMES RO,-9.9076522,-63.033069,20,1
RO,CABIXI,158,152,-6,-3.8,73,82,9,12.33,0,0,0,0.0,69,75,6,8.7,406,366,-40,-9.85,706,675,-31,-4.39,CABIXI RO,-13.4940499,-60.545110240525375,20,2
RO,CACOAL,505,481,-24,-4.75,2487,2567,80,3.22,737,797,60,8.14,6294,6178,-116,-1.84,7887,7503,-384,-4.87,17910,17526,-384,-2.14,CACOAL RO,-11.4333,-61.4420502,20,3
RO,CEREJEIRAS,205,213,8,3.9,210,207,-3,-1.43,13,15,2,15.38,761,845,84,11.04,1041,1092,51,4.9,2230,2372,142,6.37,CEREJEIRAS RO,-13.1924248,-60.81924455857779,20,4
RO,COLORADO DO OESTE,178,160,-18,-10.11,397,391,-6,-1.51,58,52,-6,-10.34,755,785,30,3.97,949,999,50,5.27,2337,2387,50,2.14,COLORADO DO OESTE RO,-13.12109915,-60.54207007205348,20,5
RO,CORUMBIARA,685,745,60,8.76,47,48,1,2.13,10,7,-3,-30.0,145,141,-4,-2.76,590,450,-140,-23.73,1477,1391,-86,-5.82,CORUMBIARA RO,-13.0002162,-60.94320578255167,20,6
RO,COSTA MARQUES,92,100,8,8.7,22,19,-3,-13.64,0,0,0,0.0,171,171,0,0.0,669,605,-64,-9.57,954,895,-59,-6.18,COSTA MARQUES RO,-12.4367165,-64.2279765,20,7
RO,GUAJARA-MIRIM,64,66,2,3.12,168,204,36,21.43,8,31,23,287.5,1580,1549,-31,-1.96,1910,1854,-56,-2.93,3730,3704,-26,-0.7,GUAJARA-MIRIM RO,-10.7804239,-65.3327825,20,9
RO,JARU,353,359,6,1.7,3237,3177,-60,-1.85,189,190,1,0.53,3403,3383,-20,-0.59,3064,3121,57,1.86,10246,10230,-16,-0.16,JARU RO,-10.431826,-62.478769,20,10
RO,JI-PARANA,596,612,16,2.68,5287,5409,122,2.31,2076,937,-1139,-54.87,9471,9516,45,0.48,11929,11514,-415,-3.48,29359,27988,-1371,-4.67,JI-PARANA RO,-10.8778148,-61.9277854,20,11
RO,OURO PRETO DO OESTE,283,277,-6,-2.12,450,535,85,18.89,637,472,-165,-25.9,1900,1860,-40,-2.11,2827,2752,-75,-2.65,6097,5896,-201,-3.3,OURO PRETO DO OESTE RO,-10.717914,-62.2566611,20,14
RO,PIMENTA BUENO,603,557,-46,-7.63,2640,2527,-113,-4.28,197,265,68,34.52,3576,3528,-48,-1.34,2977,3004,27,0.91,9993,9881,-112,-1.12,PIMENTA BUENO RO,-11.6767868,-61.1863902,20,15
RO,PORTO VELHO,1133,1021,-112,-9.89,8626,8523,-103,-1.19,4031,4162,131,3.25,26731,25346,-1385,-5.18,116164,117296,1132,0.97,156685,156348,-337,-0.22,PORTO VELHO RO,-8.7494525,-63.8735438,20,16
